R	53.4855	-6.15134	D817	01 Oct 2022	D817\n17:15 - Dublin Connolly to Dundalk (1 mins late)\nDeparted Donabate next stop Rush and Lusk	Northbound
R	53.4855	-6.15134	P721	01 Oct 2022	P721\n17:10 - Drogheda to Dublin Connolly (3 mins late)\nDeparted Donabate next stop Malahide	Southbound
R	53.6118	-6.18226	P722	01 Oct 2022	P722\n17:30 - Drogheda to Dublin Connolly (1 mins late)\nDeparted Balbriggan next stop Skerries	Southbound
R	53.6888	-7.60299	A910	01 Oct 2022	A910\n16:00 - Dublin Connolly to Sligo (0 mins late)\nDeparted Edgeworthstown next stop Longford	Northbound
R	53.712	-6.33538	A131	01 Oct 2022	A131\n16:05 - Belfast to Dublin Connolly (0 mins late)\nDeparted Drogheda next stop Dublin Connolly	Southbound
R	53.9383	-8.10657	A913	01 Oct 2022	A913\n16:55 - Sligo to Dublin Connolly (0 mins late)\nDeparted Carrick on Shannon next stop Dromod	Southbound
R	53.9676	-8.30438	A908	01 Oct 2022	A908\n15:00 - Dublin Connolly to Sligo (3 mins late)\nDeparted Boyle next stop Ballymote	Northbound
R	54.0007	-6.41291	A130	01 Oct 2022	A130\n15:20 - Dublin Connolly to Belfast (2 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A132	01 Oct 2022	A132\n16:50 - Dublin Connolly to Belfast (-4 mins late)\nArrived Dundalk next stop Newry	Northbound
T	53.0371	-7.30086	D211	01 Oct 2022	D211\n16:20 - Dublin Heuston to Portlaoise(1 mins late)\nTERMINATED Portlaoise at 17:37	To Portlaoise
T	53.1442	-6.06085	E120	01 Oct 2022	E120\n16:05 - Howth to Greystones(14 mins late)\nTERMINATED Greystones at 17:38	Southbound
T	53.2043	-6.10046	E230	01 Oct 2022	E230\n16:25 - Howth to Bray(3 mins late)\nTERMINATED Bray at 17:37	Southbound
